"startDate","endDate","afam","racial","aa","black","negro","rd","cr","seg"
"18850401","18850701",7,2,10,524,119,0,33,1
"18850701","18851001",3,0,19,563,135,0,39,0
"18851001","18860101",6,3,7,491,111,0,43,0
"18860101","18860401",17,3,7,472,111,0,54,0
"18860401","18860701",12,5,12,428,80,0,27,0
"18860701","18861001",5,2,6,521,126,0,31,0
"18861001","18870101",7,4,12,445,122,0,24,1
"18870101","18870401",26,0,9,484,113,0,34,0
"18870401","18870701",7,1,8,543,85,0,32,0
"18870701","18871001",2,1,12,515,116,0,30,0
"18871001","18880101",8,4,8,421,69,0,15,0
"18880101","18880401",2,3,5,364,56,0,35,1
"18880401","18880701",11,2,9,408,85,0,52,0
"18880701","18881001",6,5,11,424,107,0,29,1
"18881001","18890101",3,6,10,375,90,0,16,0
"18890101","18890401",6,3,12,313,79,0,29,0
"18890401","18890701",3,4,8,391,59,0,21,0
"18890701","18891001",2,6,18,432,112,0,26,2
"18891001","18900101",6,10,19,386,109,0,39,2
"18900101","18900401",21,8,21,433,106,1,49,1
"18900401","18900701",23,3,21,438,93,0,29,0
"18900701","18901001",15,5,18,571,162,0,28,2
"18901001","18910101",3,5,19,476,152,0,52,0
"18910101","18910401",27,2,17,475,102,0,37,0
"18910401","18910701",11,5,10,441,105,0,41,0
"18910701","18911001",5,4,13,521,136,0,38,0
"18911001","18920101",8,3,21,496,101,0,29,0
"18920101","18920401",25,4,19,474,92,0,47,1
"18920401","18920701",24,4,24,536,143,0,49,2
"18920701","18921001",13,5,14,544,135,0,48,1
"18921001","18930101",15,8,20,616,143,0,38,1
"18930101","18930401",29,8,18,537,125,0,46,3
"18930401","18930701",18,9,33,683,104,0,38,2
"18930701","18931001",17,9,22,618,151,0,27,3
"18931001","18940101",7,6,26,617,100,0,37,0
"18940101","18940401",37,9,19,622,115,0,31,3
"18940401","18940701",32,7,30,635,106,0,71,3
"18940701","18941001",25,6,21,676,122,0,64,1
"18941001","18950101",28,12,27,569,125,0,60,3
"18950101","18950401",34,7,30,558,122,0,80,0
"18950401","18950701",22,8,20,576,144,0,75,2
"18950701","18951001",14,5,24,678,203,0,54,4
"18951001","18960101",22,16,32,771,185,0,88,2
"18960101","18960401",36,13,65,706,156,0,63,3
"18960401","18960701",18,8,42,565,112,0,49,0
"18960701","18961001",6,4,18,525,102,0,46,0
"18961001","18970101",3,7,12,381,129,1,30,0
"18970101","18970401",21,7,27,606,124,1,77,1
"18970401","18970701",22,7,31,763,192,0,53,3
"18970701","18971001",12,8,19,577,180,0,38,3
"18971001","18980101",7,14,29,647,197,1,50,4
"18980101","18980401",19,13,28,769,151,0,64,4
"18980401","18980701",14,13,40,824,129,1,70,0
"18980701","18981001",6,14,28,986,200,0,61,0
"18981001","18990101",9,17,36,763,237,0,87,1
"18990101","18990401",16,14,31,645,168,0,74,2
"18990401","18990701",16,24,43,620,209,0,68,4
"18990701","18991001",19,25,49,622,269,1,62,0
"18991001","19000101",17,24,126,546,166,2,64,0
"19000101","19000401",12,26,149,532,159,3,83,4
"19000401","19000701",21,21,138,610,216,1,101,3
"19000701","19001001",10,22,62,724,302,3,64,3
"19001001","19010101",12,14,78,620,216,0,76,5
